Input Text,Product Type,Min Price,Max Price,Skin Concerns,Preferred Ingredients,Excluded Ingredients
Looking for a sun protect for dry skin $36-$70 with Peptides,Sun Protect,36,70,Dry,Peptides,
Looking for a eye cream for combination skin $18-$40 without Phthalates,Eye Cream,18,40,Combination,,Phthalates
Looking for a moisturizer for dry skin $40-$72 without Formaldehyde,Moisturizer,40,72,Dry,,Formaldehyde
Looking for a treatment for dry skin $20-$40 without Parabens,Treatment,20,40,Dry,,Parabens
Looking for a face mask for acne-prone skin $37-$44 with Aloe Vera,Face Mask,37,44,Acne,Aloe Vera,
Looking for a treatment for acne-prone skin $12-$35 with Tea Tree Oil without Silicones,Treatment,12,35,Acne,Tea Tree Oil,Silicones
Looking for a cleanser for acne-prone skin $48-$53 with Retinol without Phthalates,Cleanser,48,53,Acne,Retinol,Phthalates
Looking for a face mask for dry skin $28-$65 without Synthetic Dyes,Face Mask,28,65,Dry,,Synthetic Dyes
Looking for a cleanser for dry skin $21-$53 with Niacinamide,Cleanser,21,53,Dry,Niacinamide,
Looking for a eye cream for acne-prone skin $31-$69,Eye Cream,31,69,Acne,,
Looking for a sun protect for sensitive skin $25-$41 without Formaldehyde,Sun Protect,25,41,Sensitive,,Formaldehyde
Looking for a eye cream for sensitive skin $18-$58 without Synthetic Dyes,Eye Cream,18,58,Sensitive,,Synthetic Dyes
Looking for a eye cream for combination skin $27-$50 with Glycerin without Sulfates,Eye Cream,27,50,Combination,Glycerin,Sulfates
Looking for a face mask for oily skin $30-$40 without Fragrance,Face Mask,30,40,Oily,,Fragrance
Looking for a eye cream for dry skin $40-$45 with Retinol,Eye Cream,40,45,Dry,Retinol,
Looking for a cleanser for sensitive skin $49-$65 without Alcohol,Cleanser,49,65,Sensitive,,Alcohol
Looking for a face mask for acne-prone skin $39-$48,Face Mask,39,48,Acne,,
Looking for a sun protect for dry skin $16-$34,Sun Protect,16,34,Dry,,
Looking for a moisturizer for sensitive skin $11-$37 with Ceramides without Phthalates,Moisturizer,11,37,Sensitive,Ceramides,Phthalates
Looking for a eye cream for sensitive skin $22-$52 with Hyaluronic Acid without Triclosan,Eye Cream,22,52,Sensitive,Hyaluronic Acid,Triclosan
Looking for a face mask for dry skin $32-$70 without Sulfates,Face Mask,32,70,Dry,,Sulfates
Looking for a eye cream for dry skin $35-$51 with Retinol without Synthetic Dyes,Eye Cream,35,51,Dry,Retinol,Synthetic Dyes
Looking for a face mask for oily skin $35-$73,Face Mask,35,73,Oily,,
Looking for a moisturizer for sensitive skin $45-$80 with Glycerin,Moisturizer,45,80,Sensitive,Glycerin,
Looking for a moisturizer for oily skin $49-$84,Moisturizer,49,84,Oily,,
Looking for a cleanser for sensitive skin $21-$33 with Glycerin without Formaldehyde,Cleanser,21,33,Sensitive,Glycerin,Formaldehyde
Looking for a treatment for sensitive skin $44-$53 with Niacinamide without Fragrance,Treatment,44,53,Sensitive,Niacinamide,Fragrance
Looking for a treatment for combination skin $50-$81 with Ceramides without Alcohol,Treatment,50,81,Combination,Ceramides,Alcohol
Looking for a face mask for combination skin $36-$51 with Ceramides without Mineral Oil,Face Mask,36,51,Combination,Ceramides,Mineral Oil
Looking for a moisturizer for combination skin $5-$16 with Vitamin C without Formaldehyde,Moisturizer,5,16,Combination,Vitamin C,Formaldehyde
Looking for a eye cream for oily skin $29-$51 with Niacinamide,Eye Cream,29,51,Oily,Niacinamide,
Looking for a face mask for oily skin $44-$86,Face Mask,44,86,Oily,,
Looking for a treatment for acne-prone skin $15-$42 with Vitamin C without Formaldehyde,Treatment,15,42,Acne,Vitamin C,Formaldehyde
Looking for a moisturizer for dry skin $32-$65,Moisturizer,32,65,Dry,,
